,0
0,0.97944623
1,0.98093414
2,0.9812018
3,0.9811698
4,0.9810118
5,0.98000014
6,0.9803782
7,0.9784341
8,0.98012936
9,0.97919637
10,0.9778821
11,0.98022246
12,0.9800758
13,0.9802516
14,0.97975796
15,0.9798088
16,0.9804705
17,0.9798799
18,0.9803025
19,0.9785237
20,0.98060143
21,0.9807009
22,0.98126787
23,0.9794158
24,0.9790568
25,0.97964317
26,0.97886187
27,0.97948927
28,0.98007554
29,0.9808436
30,0.9818633
31,0.98002505
32,0.98038805
33,0.9809236
34,0.98020095
35,0.97915703
36,0.98016024
37,0.9790806
38,0.98014253
39,0.97963643
40,0.97911716
41,0.97834766
42,0.9802164
43,0.980285
44,0.9818341
45,0.9792033
46,0.97679526
47,0.97903055
48,0.98131096
49,0.98018444
50,0.97927964
51,0.9807818
52,0.98065233
53,0.97901076
54,0.9782107
55,0.98206097
56,0.9806784
57,0.9799198
58,0.97854143
59,0.97817874
60,0.97838706
61,0.98158246
62,0.98060673
63,0.97863865
64,0.9783307
65,0.9819468
66,0.9790996
67,0.97904396
68,0.9810522
69,0.98087525
70,0.97929895
71,0.9793425
72,0.979776
73,0.9811199
74,0.978907
75,0.9785613
76,0.9806786
77,0.9786752
78,0.97957414
79,0.9798239
80,0.9794836
81,0.97832626
82,0.97932434
83,0.9789774
84,0.97861797
85,0.9804782
86,0.9796348
87,0.9816246
88,0.9808715
89,0.9798644
90,0.98056567
91,0.9803129
92,0.9790941
93,0.9806677
94,0.9792486
95,0.9789127
96,0.98123926
97,0.97957695
98,0.9802003
99,0.98114437
100,0.9796263
101,0.98003113
102,0.9787199
103,0.97966444
104,0.9800174
105,0.9798979
106,0.979698
107,0.9779111
108,0.9788637
109,0.979379
110,0.98111284
111,0.9802506
112,0.9798736
113,0.97964483
114,0.979745
115,0.9808378
116,0.9800269
117,0.9805041
118,0.97844374
119,0.97927374
120,0.979143
121,0.9789645
122,0.98061585
123,0.98030126
124,0.98104185
125,0.9830581
126,0.9805277
127,0.9811893
128,0.97874016
129,0.9778107
130,0.9826556
131,0.9794701
132,0.9801203
133,0.9793866
134,0.979793
135,0.9776682
136,0.97932726
137,0.98007333
138,0.9794431
139,0.97959197
140,0.9798907
141,0.98005927
142,0.97989136
143,0.97968405
144,0.97890013
145,0.97811955
146,0.9797998
147,0.9808547
148,0.98186916
149,0.9803789
150,0.9795383
151,0.97937495
152,0.98094094
153,0.9793536
154,0.9811282
155,0.9806275
156,0.9803837
157,0.9789933
158,0.9807709
159,0.98003405
160,0.9794253
161,0.9801538
162,0.9789144
163,0.98293364
164,0.98051304
165,0.9792956
166,0.98097193
167,0.9816411
168,0.9800157
169,0.9793416
170,0.9806099
171,0.98121876
172,0.9822719
173,0.9785208
174,0.9788357
175,0.980952
176,0.9797289
177,0.9802166
178,0.9796445
179,0.9807703
180,0.98059976
181,0.97920406
182,0.9801318
183,0.9786615
184,0.9807769
185,0.9806914
186,0.98140514
187,0.9795357
188,0.9807962
189,0.97855765
190,0.9802013
191,0.97813636
192,0.9788096
193,0.979065
194,0.9792026
195,0.97974473
196,0.9806374
197,0.9799308
198,0.97878855
199,0.9796486
200,0.9799531
201,0.97794586
202,0.97900856
203,0.9808702
204,0.9805352
205,0.9806243
206,0.9795022
207,0.9792531
208,0.9803672
209,0.980785
210,0.9809565
211,0.9795415
212,0.9813943
213,0.979332
214,0.98024005
215,0.9793803
216,0.98154914
217,0.9800679
218,0.9795107
219,0.9804821
220,0.98107356
221,0.9815565
222,0.9810271
223,0.979979
224,0.97975415
225,0.9804911
226,0.97944
227,0.98171526
228,0.9802273
229,0.9778131
230,0.9786091
231,0.9799437
232,0.98027897
233,0.9804431
234,0.979456
235,0.9804203
236,0.9805709
237,0.9811377
238,0.981438
239,0.97941756
240,0.98008966
241,0.97929525
242,0.9800519
243,0.9809743
244,0.97912323
245,0.9789604
246,0.97889316
247,0.98037785
248,0.9799572
249,0.9797861
250,0.9791735
251,0.98115194
252,0.97836655
253,0.980809
254,0.98043454
255,0.9795416
256,0.9803841
257,0.9803968
258,0.98147947
259,0.97881037
260,0.9800417
261,0.9797009
262,0.98071194
263,0.97964716
264,0.9807302
265,0.9800583
266,0.97975266
267,0.97938305
268,0.98036426
269,0.9814654
270,0.9817923
271,0.98065877
272,0.98054725
273,0.97890884
274,0.9798554
275,0.9782436
276,0.979315
277,0.98154074
278,0.98016363
279,0.98084927
280,0.9788158
281,0.980615
282,0.9784273
283,0.9798231
284,0.98002875
285,0.980352
286,0.9799299
287,0.979315
288,0.98055506
289,0.9802316
290,0.9794324
291,0.98003364
292,0.9797181
293,0.97976995
294,0.9803185
295,0.9800283
296,0.9808508
297,0.97993714
298,0.98081344
299,0.98018664
300,0.9816452
301,0.9782455
302,0.98081666
303,0.9802325
304,0.9797292
305,0.9797939
306,0.97986495
307,0.97768635
308,0.97929627
309,0.98022574
310,0.9803347
311,0.9804248
312,0.97900456
313,0.98044556
314,0.97987336
315,0.9804732
316,0.97909737
317,0.97893703
318,0.9827178
319,0.9802181
320,0.9799701
321,0.9812657
322,0.9807854
323,0.98043656
324,0.97931534
325,0.981643
326,0.98057204
327,0.9797285
328,0.97802395
329,0.9802671
330,0.97900957
331,0.9809936
332,0.9809205
333,0.9806941
334,0.98038226
335,0.97996527
336,0.9795749
337,0.9796969
338,0.97926396
339,0.98063004
340,0.98031837
341,0.9803523
342,0.97970563
343,0.97984016
344,0.9807616
345,0.9802358
346,0.9798229
347,0.97998714
348,0.9796235
349,0.97944754
350,0.98099756
351,0.98084164
352,0.9811643
353,0.9807421
354,0.97843575
355,0.97947204
356,0.9804923
357,0.98077804
358,0.9800663
359,0.978018
360,0.978566
361,0.97870046
362,0.97961736
363,0.9794983
364,0.97927606
365,0.979745
366,0.98113143
367,0.9802415
368,0.9798042
369,0.9800292
370,0.9809885
371,0.9788994
372,0.98082125
373,0.9799038
374,0.9813963
375,0.98057014
376,0.9792086
377,0.9813631
378,0.97705096
379,0.98127156
380,0.98041075
381,0.9820521
382,0.9817072
383,0.98034954
384,0.9789292
385,0.9811451
386,0.98263574
387,0.9796034
388,0.97908837
389,0.97923607
390,0.98077506
391,0.9801369
392,0.97978216
393,0.9788663
