,0
0,0.980921
1,0.9794419
2,0.97852665
3,0.9816332
4,0.9836108
5,0.9797797
6,0.97940725
7,0.9787759
8,0.9819516
9,0.9791105
10,0.9810118
11,0.97778976
12,0.9800107
13,0.9827241
14,0.9810328
15,0.98152953
16,0.97964525
17,0.97990525
18,0.97807175
19,0.9793245
20,0.98085576
21,0.97920996
22,0.9796344
23,0.98108375
24,0.9815971
25,0.9793236
26,0.97913384
27,0.9794297
28,0.97912204
29,0.97979456
30,0.9774525
31,0.9812992
32,0.97958577
33,0.9793983
34,0.97957546
35,0.9804717
36,0.9812784
37,0.97860754
38,0.97811955
39,0.97960246
40,0.9809077
41,0.98056346
42,0.9802586
43,0.9802721
44,0.97925836
45,0.97947365
46,0.9807323
47,0.9816986
48,0.9793625
49,0.9801097
50,0.97998095
51,0.97834784
52,0.97932994
53,0.97912073
54,0.98011357
55,0.9801525
56,0.9805392
57,0.9788049
58,0.9806667
59,0.97907525
60,0.98070496
61,0.97788143
62,0.9798609
63,0.9792059
64,0.98086286
65,0.9796662
66,0.9799098
67,0.980573
68,0.9804288
69,0.9794988
70,0.9796818
71,0.9777369
72,0.98132133
73,0.9799807
74,0.9810916
75,0.97956085
76,0.9794464
77,0.97948724
78,0.9802138
79,0.9815084
80,0.9799947
81,0.9803278
82,0.97910464
83,0.98038
84,0.98193043
85,0.9807172
86,0.9808014
87,0.97929275
88,0.9790659
89,0.97949415
90,0.9806966
91,0.97917
92,0.98141265
93,0.9813917
94,0.9786886
95,0.9792432
96,0.9798004
97,0.9792403
98,0.9781648
99,0.97923064
100,0.98111117
101,0.9803465
102,0.98161745
103,0.9788221
104,0.97988623
105,0.97970355
106,0.9788047
107,0.97758234
108,0.9808067
109,0.98077106
110,0.9810298
111,0.979121
112,0.9780689
113,0.98052657
114,0.97926766
115,0.9801605
116,0.98063284
117,0.9801425
118,0.9781795
119,0.97954184
120,0.98272836
121,0.9794398
122,0.97877294
123,0.9800716
124,0.97913545
125,0.9797992
126,0.97841954
127,0.9795764
128,0.9783461
129,0.98000467
130,0.98086184
131,0.97982657
132,0.9793132
133,0.9813635
134,0.98073876
135,0.979855
136,0.98004293
137,0.9811398
138,0.9802591
139,0.98152584
140,0.979849
141,0.97878295
142,0.97967273
143,0.97996855
144,0.97969145
145,0.9803391
146,0.9794
147,0.9813066
148,0.9807984
149,0.98072535
150,0.98058456
151,0.98011035
152,0.97990644
153,0.9796209
154,0.9791772
155,0.9802769
156,0.9791118
157,0.98009473
158,0.97815514
159,0.98087937
160,0.9798901
161,0.97880316
162,0.97995055
163,0.98006713
164,0.9784377
165,0.9809542
166,0.98210406
167,0.97907656
168,0.98040473
169,0.9802725
170,0.9777191
171,0.98026997
172,0.9795533
173,0.97859335
174,0.9801241
175,0.9806826
176,0.97959816
177,0.98133147
178,0.97968394
179,0.9798803
180,0.9791909
181,0.9807904
182,0.98026973
183,0.97906387
184,0.98084307
185,0.9808321
186,0.9787482
187,0.980136
188,0.98065394
189,0.98074746
190,0.97944945
191,0.97996736
192,0.9801224
193,0.9805114
194,0.9806289
195,0.9782976
196,0.9798022
197,0.97966284
198,0.9796324
199,0.97800606
200,0.9791419
201,0.9796935
202,0.98096174
203,0.9794762
204,0.9812416
205,0.97935253
206,0.97989833
207,0.97980636
208,0.97902244
209,0.9805137
210,0.97899216
211,0.9795009
212,0.9777577
213,0.98103464
214,0.9803323
215,0.97992104
216,0.979959
217,0.98021734
218,0.9808208
219,0.9802118
220,0.98052174
221,0.9790021
222,0.9790735
223,0.9813329
224,0.9808135
225,0.97919947
226,0.98020315
227,0.98121476
228,0.9793689
229,0.97950774
230,0.98095983
231,0.9801447
232,0.9813983
233,0.98055345
234,0.97953576
235,0.9795166
236,0.9795356
237,0.9800949
238,0.9774934
239,0.98104054
240,0.97777486
241,0.97958016
242,0.9795154
243,0.98004013
244,0.98088723
245,0.97950053
246,0.9791194
247,0.979193
248,0.98057014
249,0.97937745
250,0.9786675
251,0.98057073
252,0.97935927
253,0.97825587
254,0.9807394
255,0.9803453
256,0.9792692
257,0.9786617
258,0.9804121
259,0.9795369
260,0.9788858
261,0.9799682
262,0.9802099
263,0.97956467
264,0.97922486
265,0.97947
266,0.97879106
267,0.97898376
268,0.98107177
269,0.9802292
270,0.97968984
271,0.9794357
272,0.9811925
273,0.97949326
274,0.9801037
275,0.9806921
276,0.98220265
277,0.97970474
278,0.981859
279,0.9791084
280,0.97724897
281,0.9795261
282,0.9805074
283,0.9794921
284,0.98002267
285,0.9803719
286,0.9790586
287,0.9791702
288,0.97982186
289,0.9800764
290,0.97966224
291,0.9797158
292,0.98149544
293,0.9802377
294,0.97968113
295,0.9788536
296,0.9821059
297,0.97971725
298,0.98121864
299,0.9798555
300,0.9780217
301,0.98022044
302,0.9803399
303,0.9811156
304,0.98037857
305,0.9795224
306,0.98179036
307,0.98285276
308,0.980423
309,0.9809499
310,0.9794924
311,0.98015946
312,0.9805614
313,0.978729
314,0.9812567
315,0.9807795
316,0.98097575
317,0.9796726
318,0.9795574
319,0.9808818
320,0.9782442
321,0.9799765
322,0.9809406
323,0.98065186
324,0.97830456
325,0.97996426
326,0.98132205
327,0.9796711
328,0.9807033
329,0.9808401
330,0.97902906
331,0.97985995
332,0.9797557
333,0.9798446
334,0.98111206
335,0.9789375
336,0.9798239
337,0.98025453
338,0.9809437
339,0.9794852
340,0.9804166
341,0.97983545
342,0.9788978
343,0.9801436
344,0.9810719
345,0.979534
346,0.9808336
347,0.9800378
348,0.97942823
349,0.97976536
350,0.9786992
351,0.9779404
352,0.97865945
353,0.9803146
354,0.9796829
355,0.9829932
356,0.9783446
357,0.9784896
358,0.97841173
359,0.9805145
360,0.9799162
361,0.9787601
362,0.97913134
363,0.981432
364,0.9825551
365,0.980443
366,0.9793079
367,0.9807744
368,0.9809426
369,0.9794197
370,0.98065615
371,0.9786739
372,0.98001015
373,0.9785242
374,0.9796262
375,0.9796821
376,0.97992086
377,0.9801434
378,0.9805443
379,0.98132086
380,0.9797541
381,0.98149586
382,0.9780955
383,0.98101574
384,0.9790103
385,0.97932893
386,0.9790787
387,0.9784673
388,0.9797111
389,0.9803876
390,0.979978
391,0.9800964
392,0.98072535
393,0.980439
394,0.9789209
395,0.97908854
396,0.98111176
397,0.9815991
398,0.98075944
399,0.97869796
400,0.9807042
401,0.9794716
402,0.9805093
403,0.97949433
404,0.98015904
405,0.97793627
406,0.9808894
407,0.97973293
408,0.98090816
409,0.9778445
410,0.9800273
411,0.98207325
412,0.9812349
413,0.9798769
414,0.98066914
415,0.98091674
416,0.97997636
417,0.979651
418,0.9788018
419,0.98121727
420,0.9810642
421,0.9789329
422,0.9803249
423,0.9819069
424,0.98210365
425,0.9805961
426,0.9785982
427,0.9821877
428,0.9790755
429,0.98049146
430,0.9808277
431,0.98202544
432,0.980426
433,0.97995
434,0.9778001
435,0.979979
436,0.9804029
437,0.98014915
438,0.98060834
439,0.98008496
440,0.98142225
441,0.9789153
442,0.97951263
443,0.97831637
444,0.9819958
445,0.9802279
446,0.9815582
447,0.9791777
448,0.9794978
449,0.97914547
450,0.97987765
451,0.98124653
452,0.97939867
453,0.9789704
454,0.98113465
455,0.9795129
456,0.9820695
457,0.9795695
458,0.978116
459,0.9813325
460,0.98043454
461,0.9795683
462,0.9799696
463,0.98034155
464,0.978081
465,0.97991544
466,0.98104686
467,0.9796276
468,0.97873914
469,0.9793058
470,0.97927785
471,0.97955996
472,0.98085326
473,0.9786226
474,0.9800404
475,0.9791863
476,0.9809191
477,0.97887397
478,0.98000723
479,0.980088
480,0.98064977
481,0.9800888
482,0.9781084
483,0.98074967
484,0.98070407
485,0.9803561
486,0.97870564
487,0.9791151
488,0.98072803
489,0.9792401
490,0.98116136
491,0.9806598
492,0.97935504
493,0.9807289
494,0.9789591
495,0.9809544
496,0.9789211
497,0.9800395
498,0.9793703
499,0.9788469
500,0.9807175
501,0.9813466
502,0.9793753
503,0.98046297
504,0.9807416
505,0.9801689
506,0.98026156
507,0.9783277
508,0.97886354
509,0.9806948
510,0.98033464
511,0.98003024
512,0.97931486
513,0.9806507
514,0.9786481
515,0.9793061
516,0.9818185
517,0.97917336
518,0.9795717
519,0.98051864
520,0.98123294
521,0.9795061
522,0.98093283
523,0.9799307
524,0.9816167
525,0.9821233
526,0.9805306
527,0.9816855
528,0.9795681
529,0.98035634
530,0.9819957
531,0.97976434
532,0.9797538
533,0.979023
534,0.97987795
535,0.9810832
536,0.9782638
537,0.98010635
538,0.9794722
539,0.97939795
540,0.98054487
541,0.9800861
542,0.9779934
543,0.98058015
544,0.98103565
545,0.98128283
546,0.98142904
547,0.9799077
548,0.9785608
549,0.98168385
550,0.9809241
551,0.9801691
552,0.9805442
553,0.98066974
554,0.97970253
555,0.98063856
556,0.9804231
557,0.9801054
558,0.9794798
559,0.9791874
560,0.9789555
561,0.9812855
562,0.9817039
563,0.9816218
564,0.9796812
565,0.97919136
566,0.9808548
567,0.97997475
568,0.9802652
569,0.98140025
570,0.9811224
571,0.9805743
572,0.9810959
573,0.9797051
574,0.9830189
575,0.9801365
576,0.9799075
577,0.9786786
578,0.9796352
579,0.9806817
580,0.9805312
581,0.97896826
582,0.9823549
583,0.97958136
584,0.97943294
585,0.9805949
586,0.97882956
587,0.9806211
588,0.98043114
589,0.9813006
590,0.98038226
591,0.97923684
592,0.980357
593,0.97946036
594,0.98038137
595,0.97982496
596,0.9800402
597,0.9801226
598,0.9826603
599,0.9789375
600,0.9812157
601,0.98060966
602,0.97981864
603,0.9807588
604,0.9796791
605,0.9798235
606,0.98033714
607,0.98016745
608,0.9808561
609,0.98000884
610,0.9792608
611,0.9788696
612,0.9790862
613,0.9789656
614,0.9802059
615,0.9789278
616,0.9800906
617,0.9801763
618,0.9820046
619,0.9809413
620,0.9797704
621,0.97990716
622,0.98115647
623,0.980436
624,0.98109657
625,0.9798791
626,0.97980314
627,0.98246264
628,0.9777527
629,0.97823405
630,0.9786811
631,0.97942144
632,0.9801546
633,0.97992676
634,0.9809786
635,0.98065466
636,0.97864294
637,0.9804179
638,0.9825727
639,0.9796305
640,0.98045886
641,0.98145396
642,0.97884023
643,0.9805526
644,0.978905
645,0.9805413
646,0.9805674
647,0.98055536
648,0.9794554
649,0.9807232
650,0.9809074
651,0.9796963
652,0.9809742
653,0.9801383
654,0.97940993
655,0.98007655
656,0.97884053
657,0.97929966
658,0.98000085
659,0.9802767
660,0.97861016
661,0.9787658
662,0.98136675
663,0.98146033
664,0.9797703
665,0.9803545
666,0.9813334
667,0.98240095
668,0.9798616
669,0.980583
670,0.9796821
671,0.9816441
672,0.98047405
673,0.98000246
674,0.97966295
675,0.9799895
676,0.97999537
677,0.97844785
678,0.9785664
679,0.9800393
680,0.9785874
681,0.97889984
682,0.9813193
683,0.979124
684,0.9784578
685,0.9817014
686,0.9798306
687,0.97982764
688,0.98003525
689,0.9782648
690,0.97905535
691,0.9795609
692,0.9795277
693,0.9802246
694,0.9802561
695,0.98182124
696,0.9794208
697,0.97945666
698,0.9801712
699,0.98036504
700,0.9795704
701,0.9796238
702,0.9799513
703,0.9812422
704,0.98036045
705,0.9797224
706,0.9807538
707,0.9799297
708,0.9790004
709,0.9804484
710,0.9791368
711,0.9811488
712,0.97948766
713,0.9809614
714,0.97981465
715,0.97990364
716,0.9810253
717,0.9817166
718,0.97892225
719,0.9820264
720,0.9799035
721,0.9791564
722,0.98117626
723,0.98075205
724,0.9793278
725,0.9810348
726,0.98029965
727,0.97758
728,0.9819016
729,0.97955644
730,0.98036623
731,0.9817286
732,0.97986656
733,0.98052514
734,0.97988683
735,0.979831
736,0.9799229
737,0.98032224
738,0.979509
739,0.98085254
740,0.98100764
