,0
0,0.330017
1,0.26838475
2,0.3391077
3,0.32952493
4,0.3058018
5,0.31449085
6,0.23597565
7,0.28095013
8,0.295402
9,0.24293119
10,0.32284787
11,0.30812573
12,0.30866903
13,0.34566665
14,0.29839954
15,0.327521
16,0.27620918
17,0.2748719
18,0.3331468
19,0.30551133
20,0.26785797
21,0.24746251
22,0.28453577
23,0.28278238
24,0.2998826
25,0.26018184
26,0.29854527
27,0.2380743
28,0.34709474
29,0.35454696
30,0.31945992
31,0.3009379
32,0.29177898
33,0.3021933
34,0.26735434
35,0.3012678
36,0.26442274
37,0.31306875
38,0.30905497
39,0.2927593
40,0.2965464
41,0.28922862
42,0.28947294
43,0.2973537
44,0.28518635
45,0.30597004
46,0.27498764
47,0.31549504
48,0.26671007
49,0.30547228
50,0.31559846
51,0.29915065
52,0.2755376
53,0.2779444
54,0.3481475
55,0.2997098
56,0.33528197
57,0.28512102
58,0.31819096
59,0.27850196
60,0.27070716
61,0.3375011
62,0.23673195
63,0.2945783
64,0.28218144
65,0.2915501
66,0.33776054
67,0.25839803
68,0.31840953
69,0.31178027
70,0.28166384
71,0.34355593
72,0.2472876
73,0.292718
74,0.29264134
75,0.2762245
76,0.28076497
77,0.31123188
78,0.30323827
79,0.3209954
80,0.25359097
81,0.30306286
82,0.29931283
83,0.3188762
84,0.26139915
85,0.30233312
86,0.29153985
87,0.3136915
88,0.29034927
89,0.24976742
90,0.31016892
91,0.26732522
92,0.3071391
93,0.30341083
94,0.3061228
95,0.29344088
96,0.28290623
97,0.27022126
98,0.29808682
99,0.31247878
100,0.3000192
101,0.31676602
102,0.2936935
103,0.27598327
104,0.28668225
105,0.31040406
106,0.34111708
107,0.28566378
108,0.33633476
109,0.3329326
110,0.29779187
111,0.33402956
112,0.31721166
113,0.31287828
114,0.3034234
115,0.31709892
116,0.29664925
117,0.3070905
118,0.28091237
119,0.31643543
120,0.2843107
121,0.27880096
122,0.31291628
123,0.3316823
124,0.3225754
125,0.32456994
126,0.30019754
127,0.33664718
128,0.3010712
129,0.2943834
130,0.34209007
131,0.25634962
132,0.35249048
133,0.29187572
134,0.27575654
135,0.2802299
136,0.29589784
137,0.28572112
138,0.2620157
139,0.31069762
140,0.3185467
141,0.2694748
142,0.28403997
143,0.3191133
144,0.31413168
145,0.26900148
146,0.29432207
147,0.3216242
148,0.32604763
149,0.31636122
150,0.2690633
151,0.31309885
152,0.24976724
153,0.24779409
154,0.33723652
155,0.30644023
156,0.3171546
157,0.299097
158,0.31487018
159,0.26755467
160,0.32270995
161,0.28204852
162,0.26918152
163,0.3247487
164,0.2887045
165,0.31739515
166,0.3023539
167,0.2979895
168,0.28615332
169,0.30594158
170,0.3390113
171,0.28412133
172,0.2884257
173,0.2996312
174,0.27571484
175,0.34136164
176,0.3017305
177,0.2844537
178,0.2575197
179,0.25715107
180,0.3134395
181,0.2257672
182,0.30177963
183,0.2791836
184,0.27507165
185,0.26734447
186,0.30622298
187,0.28697097
188,0.2833618
189,0.26445836
190,0.29534262
191,0.32594967
192,0.31161696
193,0.28942487
194,0.3036149
195,0.36259365
196,0.31619006
197,0.3706584
198,0.3094802
199,0.27822375
200,0.26358137
201,0.29060152
202,0.33078468
203,0.30464834
204,0.27044815
205,0.31613553
206,0.3021496
207,0.27961805
208,0.33165368
209,0.30206266
210,0.33072734
211,0.32379502
212,0.2791885
213,0.28406775
214,0.33121917
215,0.27755213
216,0.3111437
217,0.28900164
218,0.33559072
219,0.32530403
220,0.31113154
221,0.29406136
222,0.31851423
223,0.3283642
224,0.3086589
225,0.25179303
226,0.24570057
227,0.27967656
228,0.3341155
229,0.3538381
230,0.28751582
231,0.28496075
232,0.29992652
233,0.31854928
234,0.31871212
235,0.25941938
236,0.32351702
237,0.2959113
238,0.2766638
239,0.32813781
240,0.27598572
241,0.3169669
242,0.30126017
243,0.28640836
244,0.3260489
245,0.2528914
246,0.27406853
247,0.27888775
248,0.2810191
249,0.32475162
250,0.3148843
251,0.27940485
252,0.29598475
253,0.3095191
254,0.3135035
255,0.32234764
256,0.3802688
257,0.27804765
258,0.28896844
259,0.2783391
260,0.27681243
261,0.26492703
262,0.28335816
263,0.3372893
264,0.33549547
265,0.27044225
266,0.27219263
267,0.30416286
268,0.30214125
269,0.29718792
270,0.29160488
271,0.24666592
272,0.28760457
273,0.2985654
274,0.34295976
275,0.29671356
276,0.35500482
277,0.3050049
278,0.28635526
279,0.25668365
280,0.32602632
281,0.3077644
282,0.29367733
283,0.33949453
284,0.30338442
285,0.27230406
286,0.32340536
287,0.25191885
288,0.2858333
289,0.30115426
290,0.2494368
291,0.27039587
292,0.33182234
293,0.33589834
294,0.33397377
295,0.32806066
296,0.32278764
297,0.3238896
298,0.2982057
299,0.2933436
300,0.29792488
301,0.29412705
302,0.30607057
303,0.2912831
304,0.3148574
305,0.2983538
306,0.28207034
307,0.29090327
308,0.32584614
309,0.34540606
310,0.3190493
311,0.29522228
312,0.30308306
313,0.29119152
314,0.299083
315,0.28223702
316,0.26043314
317,0.25568926
318,0.3153301
319,0.31444564
320,0.27791122
321,0.3201687
322,0.30357987
323,0.2946009
324,0.30115882
325,0.30432302
326,0.27278382
327,0.29859105
328,0.32721066
329,0.25311387
330,0.31725603
331,0.28711057
332,0.28660834
333,0.28459263
334,0.25346678
335,0.31854165
336,0.27955687
337,0.2826004
338,0.32622188
339,0.30625096
340,0.30382705
341,0.3071872
342,0.30420953
343,0.26832536
344,0.25909716
345,0.26708126
346,0.32658327
347,0.3003186
348,0.31443438
349,0.3097184
350,0.31767914
351,0.25848716
352,0.27003956
353,0.28575113
354,0.30349118
355,0.30210865
356,0.31759322
357,0.30254367
358,0.28741202
359,0.32134986
360,0.28542656
361,0.2913348
362,0.2906532
363,0.31685758
364,0.2663529
365,0.2715116
366,0.28469628
367,0.32405972
368,0.2908725
369,0.28926986
370,0.3066016
371,0.30615938
372,0.29664725
373,0.29433537
374,0.28457844
375,0.27141663
376,0.2709399
377,0.29556262
378,0.32618237
379,0.28250366
380,0.27444315
381,0.30726457
382,0.32245466
383,0.27958876
384,0.28581387
385,0.30937064
386,0.30217355
387,0.30181813
388,0.3709376
389,0.31477004
390,0.31760108
391,0.30926076
392,0.30779034
393,0.25850558
394,0.2831766
395,0.2880168
396,0.28549594
397,0.27823395
398,0.28238988
399,0.27222893
400,0.29031014
401,0.27946624
402,0.25174367
403,0.30132204
404,0.2993232
405,0.3071639
406,0.28331697
407,0.2873687
408,0.27191013
409,0.2984534
410,0.3236494
411,0.3379725
412,0.29464966
413,0.2761791
414,0.34097856
415,0.24355286
416,0.27607244
417,0.30583292
418,0.31289738
419,0.292834
420,0.27167425
421,0.26428473
422,0.2769963
423,0.34454918
424,0.30512494
425,0.29492676
426,0.27794492
427,0.33860382
428,0.3123818
429,0.329466
430,0.32876995
431,0.30968308
432,0.3092926
433,0.263267
434,0.3339792
435,0.3182267
436,0.29135013
437,0.26703477
438,0.26311103
439,0.31406486
440,0.29252633
441,0.34358752
442,0.3157916
443,0.31272465
444,0.32676172
445,0.2805003
446,0.3559987
447,0.30421627
448,0.32092434
449,0.29901865
450,0.2948861
451,0.306381
452,0.26312923
453,0.2584983
454,0.31430718
455,0.2717991
456,0.30537623
457,0.34107327
458,0.2973723
459,0.31926155
460,0.32728267
461,0.28854826
462,0.31192654
463,0.29874724
464,0.26920545
465,0.30561993
466,0.2938567
467,0.26024145
468,0.28767252
469,0.27197933
470,0.283327
471,0.32891515
472,0.28937668
473,0.33174074
474,0.28943795
475,0.2624824
476,0.27849633
477,0.35142475
478,0.30862507
479,0.30468613
480,0.26744246
481,0.30571622
482,0.27736014
483,0.26002747
484,0.3203255
485,0.26630223
486,0.2772507
487,0.29955655
488,0.27458966
489,0.3143208
490,0.25507736
491,0.3151424
492,0.2941562
493,0.27242213
494,0.2645646
495,0.2949835
496,0.28092057
497,0.25771967
498,0.3023892
499,0.2908787
500,0.32768422
501,0.28366518
502,0.30638465
503,0.24797776
504,0.31750312
505,0.30131036
506,0.25384325
507,0.28714174
508,0.25952578
509,0.2986962
510,0.3014962
511,0.29866898
512,0.27894992
513,0.2769987
514,0.29798123
515,0.30820256
516,0.29127282
517,0.32239875
518,0.26668432
519,0.30539262
520,0.31989688
521,0.3429396
522,0.29607767
523,0.3317725
524,0.2785805
525,0.28806835
526,0.29392052
527,0.32430425
528,0.2914585
529,0.3040809
530,0.30915546
531,0.31038606
532,0.30200112
533,0.32938653
534,0.2914881
535,0.30467844
536,0.28504148
537,0.24173632
538,0.27351964
539,0.2832026
540,0.29525638
541,0.25061566
542,0.32859474
543,0.31552947
544,0.27961096
545,0.2871707
546,0.29197577
547,0.28906125
548,0.316027
549,0.31879795
550,0.27550048
551,0.34713948
552,0.32757595
553,0.3349762
554,0.29040515
555,0.27019137
556,0.3273583
557,0.28893983
558,0.2871924
559,0.29832628
560,0.2746703
561,0.2519365
562,0.29993305
563,0.26860416
564,0.27473187
565,0.270772
566,0.3149535
567,0.31027323
568,0.29295307
569,0.27096426
570,0.28207308
571,0.35089985
572,0.30425274
573,0.3313461
574,0.25951535
575,0.29505062
576,0.32217872
577,0.31639105
578,0.32572383
579,0.32250583
580,0.32893983
581,0.32904837
582,0.32834578
583,0.34610948
584,0.30018634
585,0.299303
586,0.3078025
587,0.2674191
588,0.32802248
589,0.28287065
590,0.32875094
591,0.25711033
592,0.2700047
593,0.34227234
594,0.31611302
595,0.29452652
596,0.33441824
597,0.27892256
598,0.27907568
599,0.29445446
600,0.28231066
601,0.35251993
602,0.3130421
603,0.30828732
604,0.3019625
605,0.2926275
606,0.31112975
607,0.28654137
608,0.31975108
609,0.31184518
610,0.3410821
611,0.3085829
612,0.29477435
613,0.3071258
614,0.32331562
615,0.28013414
616,0.35113615
617,0.28201747
618,0.29594117
619,0.32593936
620,0.28385818
621,0.30629408
622,0.2964257
623,0.26992613
624,0.26467127
625,0.29593235
626,0.31259602
627,0.2799946
628,0.2892649
629,0.30958483
630,0.341066
631,0.29413602
632,0.27363455
633,0.28824943
634,0.31084672
635,0.32094336
636,0.2715923
637,0.29864192
638,0.30162376
639,0.3097347
640,0.3000135
641,0.25114205
642,0.27955028
643,0.2702921
644,0.3088119
645,0.316195
646,0.2928685
647,0.30866075
648,0.3186295
649,0.30993325
650,0.31661153
651,0.30790746
652,0.29273245
653,0.30756193
654,0.3054148
655,0.29730713
656,0.29048306
657,0.27733713
658,0.28149447
659,0.28548747
660,0.26430887
661,0.33199012
662,0.27662277
663,0.27383518
664,0.27404714
665,0.2694617
666,0.28870818
667,0.2795098
668,0.29307872
669,0.3105035
670,0.3447203
671,0.29398805
672,0.30943024
673,0.25430033
674,0.32537764
675,0.3277657
676,0.32815558
677,0.32639265
678,0.34042877
679,0.31187376
680,0.28762758
681,0.27530146
682,0.2760226
683,0.29908645
684,0.30828965
685,0.28192663
686,0.3324067
687,0.29711872
688,0.32984966
689,0.3159303
690,0.28439343
691,0.29267824
692,0.3006394
693,0.27838838
694,0.28519136
695,0.32676
696,0.3312442
697,0.3024403
698,0.31221628
699,0.26572472
700,0.32880318
701,0.28059506
702,0.2713562
703,0.3425913
704,0.30668688
705,0.32406348
706,0.31160927
707,0.28935105
708,0.30512366
709,0.32469112
710,0.324946
711,0.2831564
712,0.29150343
713,0.24629211
714,0.2832091
715,0.30987358
716,0.30031878
717,0.2970822
718,0.31735802
719,0.2775784
720,0.2553481
721,0.3373599
722,0.28662044
723,0.25203148
724,0.2824502
725,0.2844233
726,0.29501086
727,0.33014524
728,0.32173663
729,0.29762876
730,0.27436253
731,0.25735247
732,0.28275377
733,0.2997964
734,0.3264168
735,0.30212504
736,0.3015432
737,0.25669885
738,0.28829363
739,0.3070838
740,0.34444422
741,0.28126147
742,0.33531836
743,0.31249624
744,0.2837736
745,0.3048707
746,0.30521166
747,0.32608366
748,0.2781216
749,0.29650918
750,0.31748486
751,0.28875262
752,0.3006249
753,0.33390433
754,0.32834202
755,0.28546983
756,0.24405664
757,0.2676202
758,0.30965036
759,0.26775986
760,0.30975786
761,0.30908406
762,0.3012717
763,0.29494673
764,0.29499894
765,0.34579802
766,0.289124
767,0.26951468
768,0.29683676
769,0.3106909
770,0.29371196
771,0.33850783
772,0.34199914
773,0.27416885
774,0.2771771
775,0.3142522
776,0.28311047
777,0.2789821
778,0.3188138
779,0.2859556
780,0.30179524
781,0.33467346
782,0.32543254
783,0.2778219
784,0.2929966
785,0.31127366
786,0.26374272
787,0.25087893
788,0.29967514
789,0.24775279
790,0.27945065
791,0.28779614
792,0.3286754
793,0.25622606
794,0.26766163
795,0.3115756
796,0.30269557
797,0.30813327
798,0.32896298
799,0.28245133
800,0.33899146
801,0.24690363
802,0.24549752
803,0.27451605
804,0.32773304
805,0.27687544
806,0.30993867
807,0.27967727
808,0.31092498
809,0.26700068
810,0.24966529
811,0.26744336
812,0.29774147
813,0.29368615
814,0.26128703
