AntiSpot,SituComp
0.988009,0.353896
0.971531,0.270323
0.985485,0.298096
0.998631,0.293919
0.966897,0.254178
0.979272,0.296256
0.987674,0.227058
0.961313,0.361454
0.997942,0.251355
0.965580,0.383999
0.987186,0.334101
0.980427,0.331633
0.990060,0.242202
0.991755,0.248355
0.999132,0.215176
0.962682,0.229119
0.985916,0.297226
0.966322,0.324019
0.960471,0.299281
0.978524,0.252068
0.966765,0.335608
0.988006,0.367079
0.976952,0.368485
0.986427,0.269079
0.988791,0.315543
0.980602,0.357098
0.965014,0.330046
0.988111,0.281357
0.988736,0.338445
0.999418,0.376063
0.996371,0.293412
0.988136,0.219564
0.978231,0.249589
0.966872,0.293715
0.995287,0.342435
0.962009,0.265505
0.967768,0.262634
0.969276,0.382105
0.993228,0.341815
0.962622,0.307119
0.989442,0.242599
0.989561,0.244348
0.967300,0.283101
0.982369,0.368183
0.985810,0.228693
0.966489,0.301245
0.997865,0.264950
0.989377,0.238995
0.967317,0.293195
0.971018,0.239409
0.994094,0.209165
0.969694,0.347662
0.966150,0.316702
0.960755,0.381461
0.978067,0.233618
0.993596,0.258458
0.962271,0.386874
0.968650,0.346921
0.969732,0.351524
0.970665,0.311680
0.972423,0.319260
0.977184,0.275218
0.968455,0.364016
0.990153,0.271772
0.978487,0.305203
0.996305,0.386102
0.994835,0.229495
0.976937,0.201635
0.993831,0.359773
0.964209,0.386938
0.981599,0.365548
0.987548,0.297116
0.981296,0.243747
0.982819,0.298031
0.970112,0.307665
0.975045,0.270918
0.964468,0.346840
0.967120,0.392934
0.999739,0.239833
0.983017,0.259011
0.984860,0.327038
0.995956,0.385790
0.968073,0.323628
0.970805,0.375392
0.998134,0.308095
0.969030,0.399400
0.980395,0.307917
0.997413,0.397935
0.998072,0.300879
0.997727,0.214854
0.980841,0.373244
0.968995,0.381788
0.971147,0.269792
0.973537,0.292838
0.969175,0.307928
0.967403,0.274548
0.994753,0.274238
0.973249,0.283479
0.991990,0.295759
0.980585,0.318205
0.996027,0.265493
0.991396,0.237729
0.989808,0.355672
0.968530,0.291411
0.987065,0.234300
0.962064,0.216298
0.988465,0.344455
0.993598,0.283426
0.987270,0.201526
0.977748,0.283057
0.973539,0.396707
0.974267,0.206686
0.987963,0.370479
0.968596,0.299071
0.969795,0.236550
0.991726,0.317027
0.988016,0.313801
0.981803,0.302192
0.975513,0.352325
0.973924,0.259811
0.971880,0.252263
0.966526,0.319127
0.995028,0.290745
0.971232,0.264685
0.999621,0.326973
0.978542,0.235885
0.985723,0.320714
0.991858,0.369975
0.961222,0.270930
0.983756,0.283186
0.996272,0.294286
0.997152,0.329661
0.982708,0.213504
0.974705,0.213098
0.986792,0.275720
0.971281,0.336282
0.999643,0.399462
0.981166,0.309603
0.992725,0.380962
0.974520,0.220747
0.990394,0.358292
0.998696,0.223228
0.995706,0.349995
0.976603,0.386617
