para1,para2,para3,para4,para5,para6,para7,para8,para9,para10
10,2.0,1.2,60,17.5,0.95,40,4.0,55,22.5
10,4.0,2.8,90,12.5,1.05,120,4.0,35,22.5
6,2.0,2.8,90,15.0,0.95,120,2.5,55,32.5
6,3.0,2.0,60,17.5,1.05,120,4.0,45,22.5
6,4.0,2.8,60,17.5,0.85,80,1.0,35,12.5
10,4.0,2.0,90,15.0,0.85,120,1.0,45,12.5
8,3.0,1.2,30,15.0,1.05,40,1.0,45,22.5
6,4.0,2.0,90,12.5,1.05,120,2.5,55,22.5
8,2.0,2.0,30,15.0,1.05,120,4.0,55,32.5
10,3.0,2.0,60,17.5,0.95,40,4.0,55,22.5
6,4.0,2.0,90,15.0,0.85,80,2.5,35,22.5
8,4.0,2.0,90,12.5,0.95,40,2.5,55,32.5
6,3.0,2.8,60,17.5,0.95,120,2.5,35,12.5
10,3.0,2.8,30,17.5,0.95,40,1.0,55,22.5
6,3.0,2.8,90,15.0,0.95,120,2.5,55,12.5
6,4.0,1.2,60,12.5,0.85,40,4.0,45,22.5
6,3.0,1.2,30,17.5,0.85,80,1.0,55,12.5
8,2.0,2.8,90,17.5,1.05,40,2.5,55,32.5
10,2.0,2.8,60,12.5,0.85,40,4.0,45,32.5
8,2.0,1.2,30,15.0,0.85,40,1.0,35,22.5
10,2.0,2.8,30,17.5,1.05,120,1.0,55,32.5
8,3.0,1.2,60,12.5,0.95,120,4.0,45,12.5
10,3.0,1.2,90,17.5,1.05,40,4.0,55,12.5
6,4.0,1.2,90,17.5,0.95,40,2.5,35,22.5
8,2.0,2.8,60,15.0,0.95,80,2.5,55,22.5
6,3.0,2.0,60,12.5,1.05,80,2.5,55,22.5
8,4.0,2.8,30,17.5,0.85,80,1.0,35,22.5
6,2.0,2.8,90,17.5,0.85,40,1.0,45,22.5
8,4.0,1.2,90,17.5,1.05,80,1.0,55,12.5
10,4.0,2.8,60,17.5,0.85,80,1.0,55,12.5
8,2.0,2.0,90,12.5,1.05,80,1.0,55,12.5
10,4.0,1.2,90,12.5,0.85,80,2.5,55,22.5
6,3.0,2.0,30,12.5,0.85,80,1.0,45,32.5
10,3.0,2.8,30,15.0,0.85,120,4.0,55,12.5
8,3.0,1.2,30,17.5,0.95,40,1.0,45,12.5
10,3.0,1.2,90,15.0,0.95,80,1.0,45,32.5
6,3.0,2.0,30,12.5,0.95,40,1.0,45,12.5
6,3.0,1.2,60,17.5,0.95,80,2.5,45,32.5
10,2.0,2.0,30,17.5,0.85,40,4.0,45,12.5
8,3.0,1.2,90,17.5,0.95,80,2.5,45,32.5
10,3.0,1.2,90,15.0,0.85,120,4.0,45,32.5
10,2.0,2.0,60,15.0,0.95,120,1.0,35,12.5
6,3.0,2.0,60,17.5,0.95,120,2.5,35,32.5
10,3.0,1.2,60,17.5,0.85,80,1.0,35,12.5
10,4.0,2.8,90,17.5,0.85,80,1.0,45,22.5
10,3.0,1.2,60,12.5,1.05,120,1.0,55,12.5
10,2.0,2.8,60,17.5,1.05,120,4.0,35,22.5
6,3.0,2.8,30,15.0,0.95,40,4.0,45,32.5
8,3.0,2.8,60,17.5,1.05,40,4.0,35,32.5
10,4.0,2.0,60,12.5,0.95,40,4.0,45,32.5
6,4.0,2.8,90,12.5,0.95,120,4.0,45,22.5
8,4.0,2.0,90,15.0,0.95,120,1.0,45,22.5
6,3.0,1.2,90,15.0,0.85,120,1.0,45,12.5
10,3.0,1.2,90,15.0,0.95,40,4.0,35,32.5
10,2.0,2.0,90,12.5,1.05,40,2.5,35,32.5
8,2.0,1.2,90,15.0,0.95,80,2.5,35,12.5
6,2.0,2.0,90,15.0,1.05,80,4.0,45,12.5
10,3.0,2.0,90,12.5,1.05,40,2.5,55,12.5
10,3.0,2.0,30,17.5,0.85,120,2.5,35,12.5
6,3.0,2.8,60,12.5,1.05,120,2.5,35,22.5
10,2.0,2.0,90,17.5,1.05,40,2.5,35,32.5
6,2.0,1.2,60,17.5,1.05,40,2.5,55,12.5
6,4.0,2.0,30,17.5,1.05,80,1.0,55,32.5
10,2.0,2.8,90,12.5,0.95,80,4.0,35,12.5
8,3.0,2.0,90,17.5,0.85,40,2.5,55,32.5
6,2.0,1.2,30,12.5,1.05,120,4.0,35,12.5
6,3.0,2.8,60,17.5,0.95,120,2.5,45,32.5
6,4.0,2.0,60,15.0,0.95,120,4.0,55,22.5
8,2.0,2.8,60,12.5,0.85,80,1.0,35,22.5
10,3.0,1.2,60,17.5,0.95,40,2.5,55,32.5
6,4.0,2.0,30,12.5,0.85,40,1.0,55,32.5
8,2.0,2.8,30,17.5,0.85,120,2.5,55,12.5
10,4.0,2.8,60,12.5,0.85,40,1.0,35,12.5
10,2.0,2.8,30,12.5,0.85,40,2.5,55,22.5
6,4.0,2.0,30,17.5,0.95,80,4.0,35,22.5
6,2.0,2.0,90,12.5,0.85,120,2.5,55,32.5
6,4.0,1.2,90,12.5,0.95,120,4.0,35,32.5
6,3.0,1.2,90,15.0,0.85,120,4.0,45,32.5
8,2.0,2.8,90,12.5,0.95,80,1.0,45,32.5
6,3.0,2.0,60,17.5,0.85,40,4.0,55,32.5
6,4.0,2.8,60,17.5,0.85,80,1.0,35,22.5
8,3.0,1.2,60,17.5,1.05,80,2.5,45,32.5
6,2.0,2.8,30,17.5,0.95,80,2.5,55,12.5
10,3.0,1.2,60,12.5,0.85,40,4.0,45,12.5
8,3.0,1.2,30,17.5,0.85,80,1.0,35,12.5
8,4.0,2.8,30,15.0,0.95,40,1.0,45,32.5
6,3.0,2.0,90,17.5,0.95,80,2.5,45,32.5
10,4.0,2.8,60,15.0,1.05,80,1.0,45,12.5
8,3.0,2.0,90,17.5,0.95,80,1.0,35,22.5
10,3.0,2.8,90,12.5,0.95,80,4.0,45,22.5
6,3.0,1.2,30,12.5,1.05,120,4.0,45,12.5
6,4.0,1.2,90,15.0,1.05,80,4.0,35,12.5
10,2.0,2.8,30,15.0,1.05,120,4.0,45,12.5
10,4.0,2.0,90,15.0,0.85,80,2.5,45,12.5
6,4.0,1.2,60,15.0,0.95,40,2.5,35,32.5
8,2.0,1.2,30,15.0,0.85,120,2.5,45,22.5
10,2.0,2.8,90,17.5,0.85,120,1.0,35,32.5
8,4.0,2.8,90,17.5,0.85,120,1.0,55,32.5
8,3.0,1.2,30,17.5,0.95,80,2.5,45,22.5
10,3.0,2.0,90,12.5,1.05,40,4.0,45,32.5
8,2.0,1.2,30,12.5,0.85,120,4.0,45,22.5
6,2.0,2.0,90,12.5,1.05,120,4.0,45,32.5
10,3.0,2.8,90,12.5,1.05,120,1.0,45,32.5
8,3.0,2.8,90,17.5,0.85,120,4.0,55,22.5
6,2.0,2.0,30,15.0,0.85,40,4.0,35,12.5
6,3.0,2.8,90,15.0,0.85,40,2.5,35,12.5
6,4.0,2.8,30,15.0,0.85,40,1.0,55,22.5
6,4.0,2.0,60,15.0,0.85,120,4.0,55,12.5
8,2.0,2.0,30,12.5,0.85,80,1.0,55,32.5
8,2.0,1.2,30,12.5,0.95,120,4.0,45,22.5
6,2.0,2.8,90,15.0,0.95,80,1.0,55,12.5
6,2.0,1.2,60,17.5,1.05,80,1.0,55,12.5
6,4.0,1.2,30,17.5,1.05,80,4.0,45,32.5
6,2.0,2.8,60,12.5,0.95,80,4.0,55,22.5
10,2.0,2.8,90,12.5,1.05,40,2.5,35,22.5
6,3.0,2.8,60,15.0,0.95,120,4.0,45,12.5
10,2.0,2.8,90,15.0,0.85,120,4.0,45,32.5
6,2.0,2.0,90,15.0,1.05,120,1.0,55,12.5
6,4.0,1.2,90,17.5,0.95,120,1.0,45,22.5
6,3.0,2.0,90,12.5,0.95,40,4.0,55,32.5
6,3.0,2.8,90,15.0,1.05,80,4.0,55,22.5
8,3.0,2.8,90,12.5,1.05,40,4.0,45,32.5
6,3.0,2.8,30,12.5,1.05,120,2.5,55,22.5
6,3.0,1.2,30,15.0,1.05,80,1.0,55,32.5
10,2.0,2.8,90,17.5,1.05,80,2.5,55,32.5
10,2.0,1.2,90,15.0,1.05,120,2.5,35,22.5
8,4.0,2.8,90,15.0,0.95,80,1.0,55,32.5
6,2.0,2.8,30,17.5,0.95,40,4.0,55,22.5
